country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Algeria,2022,8,27.47795138888889,45.825,0.007569444444444445,9.219479166666666,66.17408065697617,1.6553486101530972,1.3467648542821953,1.4139492807193106,0.3972,2225050816.569707,17158477.605663426,2207892338.964043,54877100.77521554,12702004239.994396,5724204153.080535,17158477.605663426,0.0,Mediterranean
Algeria,2022,9,25.527083333333334,51.278333333333336,0.03666666666666667,10.410055555555555,64.77023097094879,1.6468143970788482,1.3225669102873254,1.4139492807193106,0.3972,5562627041.424268,42896194.01415857,5519730847.410108,137192751.93803883,31755010599.985992,14310510382.701336,42896194.01415857,0.0,Mediterranean
Algeria,2022,10,22.30095430107527,47.443682795698926,0.01907258064516129,7.919206989247312,58.94182294298313,1.6013655731785952,1.249111537830378,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
Algeria,2022,11,16.01459722222222,59.01097222222222,0.08593055555555557,12.111986111111111,52.01570142740016,1.5323586679030499,1.2022601984511236,1.4139492807193106,0.3972,5562627041.424268,42896194.01415857,5519730847.410108,137192751.93803883,31755010599.985992,14310510382.701336,42896194.01415857,0.0,Mediterranean
Algeria,2022,12,13.930040322580645,58.589112903225804,0.03157258064516129,10.010067204301075,48.78606133772949,1.4937693245010972,1.1977002639144088,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
Algeria,2023,1,9.229905913978495,68.16854838709678,0.10935483870967742,10.900564516129032,42.71805766233237,1.4105253422733646,1.2180912979720964,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
Algeria,2023,2,10.101994047619046,65.171875,0.046367559523809526,9.390029761904762,43.64530530750582,1.4253048554746182,1.2094237279071773,1.4139492807193106,0.39720000000000005,5191785238.66265,40036447.746548,5151748790.9161005,128046568.47550291,29638009893.32026,13356476357.187914,40036447.746548,0.0,Mediterranean
Algeria,2023,3,14.132755376344086,61.461424731182795,0.02789516129032258,10.282594086021506,49.362349900660384,1.4997027055209915,1.201081792400331,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
Algeria,2023,4,16.434083333333334,54.1125,0.02446527777777778,10.366708333333333,51.27494529727086,1.522503867122058,1.203920983941423,1.4139492807193106,0.3972,5562627041.424268,42896194.01415857,5519730847.410108,137192751.93803883,31755010599.985992,14310510382.701336,42896194.01415857,0.0,Mediterranean
Algeria,2023,5,17.53364247311828,66.29556451612903,0.23068548387096774,10.655524193548388,55.841387716053305,1.5755766279714738,1.2143839697077436,1.4139492807193106,0.3972,5748047942.805077,44326067.14796385,5703721875.657111,141765843.66930678,32813510953.31886,14787527395.458048,44326067.14796385,0.0,Mediterranean
