country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Algeria,2022,20.142885572139303,53.325342039800994,0.03984141791044776,10.015690298507462,56.994263824897565,1.5760340082042132,1.2519190848330461,1.4139492807193106,0.3972,772587.0890867038,5957.80472418869,766629.284362515,19054.54888028317,4410418.138886943,1987570.8864862968,5957.80472418869,0.0,Mediterranean
Algeria,2023,18.52654970760234,57.26851851851852,0.0719087069525666,10.043489278752435,54.85720189202318,1.5490838190174707,1.2527182706274769,1.4139492807193106,0.3972,772587.0890867038,5957.80472418869,766629.284362515,19054.54888028317,4410418.138886943,1987570.8864862968,5957.80472418869,0.0,Mediterranean
Algeria,2024,18.703239468864467,57.68131868131868,0.034032738095238095,11.099233058608059,55.55290571668402,1.5639725881156232,1.2359698920397906,1.4139492807193106,0.3972,772587.0890867038,5957.80472418869,766629.284362515,19054.54888028317,4410418.138886943,1987570.8864862968,5957.80472418869,0.0,Mediterranean
Benin,2022,26.31072242951907,71.36468698175787,0.1590573175787728,9.382467868988392,71.42311210534143,1.6806644378994007,1.4550198943432209,1.462263736263736,0.3972,36254.15471474752,398.3973045576652,22111.050402950423,0.0,17728.680052816093,0.0,398.3973045576652,0.0,Savana
Benin,2023,27.70464260057471,69.19782686781609,0.2407582016283525,11.097003711685824,73.0163548185962,1.6874996076499644,1.4901676112784252,1.462263736263736,0.3972,36254.15471474752,398.3973045576652,22111.050402950423,0.0,17728.680052816093,0.0,398.3973045576652,0.0,Savana
Botswana,2022,24.723072139303483,38.65935945273632,0.05823901326699834,14.69734141791045,59.139506876062725,1.6029605624887162,1.2514587338182954,2.015035573122529,0.55,85456.22182761914,199.19865227883253,52190.046897054126,50198.06037426581,0.0,0.0,199.19865227883253,0.0,Savana
Botswana,2023,21.330905771072796,42.8966415229885,0.05760656130268199,12.275832136015326,55.95394099446469,1.5677963229968206,1.2391461294853443,2.015035573122529,0.55,85456.22182761914,199.19865227883253,52190.046897054126,50198.06037426581,0.0,0.0,199.19865227883253,0.0,Savana
Burkina Faso,2022,27.163209991708126,44.752953980099505,0.12179415422885571,10.905783582089553,64.29148260317452,1.6345968362397998,1.339408833165037,4.562714049999999,0.25,46214.08732868914,4780.76765469198,10557.528570778128,0.0,0.0,0.0,4780.76765469198,0.0,Savana
Burkina Faso,2023,30.27505986590038,37.62772389846743,0.1223817648467433,12.35550167624521,66.17749936453616,1.6466918918896511,1.3702200824601276,4.562714049999999,0.25,46214.08732868914,4780.76765469198,10557.528570778128,0.0,0.0,0.0,4780.76765469198,0.0,Savana
Burundi,2022,20.11527259535655,69.36696724709785,0.15539800995024874,5.642112354892205,60.84134672381707,1.6220995649286207,1.2570846726113223,5.270061660645188,0.42,9163.1380048263,4780.76765469198,2390.38382734599,0.0,0.0,0.0,4780.76765469198,0.0,Savana
Burundi,2023,19.595300526819926,72.22793941570882,0.21378292624521075,5.777355723180077,60.690195016175004,1.619372166561851,1.2593554417271609,5.270061660645188,0.42,9163.1380048263,4780.76765469198,2390.38382734599,0.0,0.0,0.0,4780.76765469198,0.0,Savana
Cameroon,2022,23.175244314143566,71.1617803837953,0.21428749111584933,5.778469260838664,65.87375030096912,1.6518406128277692,1.3461237760092493,4.07009466214724,0.525,138642.26198606743,86395.30118836224,52246.96079770522,0.0,40636.52506488182,0.0,86395.30118836224,0.0,Desert
Cameroon,2023,25.09731116584565,66.11042692939245,0.31345622947454843,6.4063526272577995,67.10049340226139,1.6584926060478666,1.3694409198664548,4.07009466214724,0.525,138642.26198606743,86395.30118836224,52246.96079770522,0.0,40636.52506488182,0.0,86395.30118836224,0.0,Desert
Cape Verde,2022,25.36298196517413,75.03969734660033,0.03597274046434494,20.0286587893864,71.57205695929588,1.6857151647958597,1.4464107500612464,0.542,0.3972,8565.5420479898,1394.390565951828,7171.151482037971,0.0,0.0,0.0,1394.390565951828,0.0,Steppe
Cape Verde,2023,23.391855244252874,76.1647808908046,0.016207195881226055,21.888239343869735,68.4761536450427,1.6713486628856118,1.3810383581541221,0.542,0.3972,8565.5420479898,1394.390565951828,7171.151482037971,0.0,0.0,0.0,1394.390565951828,0.0,Steppe
Central African Republic,2022,24.85164800995025,72.48081023454158,0.17017990405117273,4.604775230987918,69.09451171398683,1.6717521708010896,1.4007442354859985,5.3374281,0.3972,2561.125529299275,2561.125529299275,0.0,0.0,0.0,0.0,2561.125529299275,0.0,Desert
Central African Republic,2023,26.80790486453202,62.428417487684726,0.17694812192118228,5.665673747947454,69.00039066745417,1.6703253516175656,1.4014261764670528,5.3374281,0.3972,2561.125529299275,2561.125529299275,0.0,0.0,0.0,0.0,2561.125529299275,0.0,Desert
Chad,2022,26.85731286748078,42.76102442333786,0.06938432835820896,12.237895748530077,63.16280969649393,1.6273655508600948,1.3209514306609444,0.001000005377428,0.3972,3802.883361686804,217.30762066781733,3585.5757410189863,0.0,0.0,0.0,217.30762066781733,0.0,Savana
Chad,2023,30.131310410135843,32.54429532392894,0.07143955721003134,12.803750326541275,63.86428158505559,1.6320160958779169,1.3320013431444913,0.001000005377428,0.3972,3802.883361686804,217.30762066781733,3585.5757410189863,0.0,0.0,0.0,217.30762066781733,0.0,Savana
Egypt,2022,24.22644589552239,50.59800995024876,0.003078358208955224,14.034860074626865,62.4003245951746,1.6263012475189986,1.2981805644083062,1.4704840630102785,0.3972,2590100.396120748,289116.9239174976,2300983.4722032505,146334.77876997675,7241770.983472203,5082300.327824067,289116.9239174976,0.0,Desert
Egypt,2023,24.04372665229885,43.87643678160919,0.004178340517241379,15.005267600574713,59.45970912107551,1.598956644072548,1.2730216996496557,1.4704840630102785,0.3972,2590100.396120748,289116.9239174976,2300983.4722032505,146334.77876997675,7241770.983472203,5082300.327824067,289116.9239174976,0.0,Desert
Equatorial Guinea,2022,24.241084754797445,84.60434434968018,0.38502221037668805,6.987038024164891,71.87641537686382,1.6877041806426027,1.451282763554945,2.701209238356165,0.3972,25099.0301871329,8195.60169375768,16903.428493375224,0.0,16732.68679142194,0.0,8195.60169375768,0.0,Desert
Equatorial Guinea,2023,25.18074712643678,82.51554802955665,0.3739824507389163,7.6275323275862075,72.93706598499733,1.6911299933852624,1.4777130733253594,2.701209238356165,0.3972,25099.0301871329,8195.60169375768,16903.428493375224,0.0,16732.68679142194,0.0,8195.60169375768,0.0,Desert
Eritrea,2022,22.785473673300167,55.85427031509121,0.053471703980099504,11.073528192371475,61.699045314654725,1.615331537970291,1.304174876251648,3.788,0.3972,3784.774393297819,99.59932613941628,3685.175067158403,0.0,0.0,0.0,99.59932613941628,0.0,Steppe
Eritrea,2023,24.053831417624522,52.18202227011494,0.06486679837164751,11.843699113984673,62.485677702094065,1.6215143300339208,1.3139572723522388,3.788,0.3972,3784.774393297819,99.59932613941628,3685.175067158403,0.0,0.0,0.0,99.59932613941628,0.0,Steppe
Ethiopia,2022,17.85924751243781,61.833177860696516,0.13732400497512437,8.29792288557214,55.45878627979041,1.5713399380155586,1.2129410262023894,5.128684946349393,0.192,184298.593088376,184179.07389700864,119.51919136729956,0.0,0.0,0.0,184179.07389700864,0.0,Steppe
Ethiopia,2023,19.454173850574712,58.82904094827586,0.256581716954023,9.0940625,57.06185993318555,1.5867890624878331,1.2251943662379021,5.128684946349393,0.192,184298.593088376,184179.07389700864,119.51919136729956,0.0,0.0,0.0,184179.07389700864,0.0,Steppe
Gabon,2022,24.002842039800996,84.86822139303483,0.3356439676616915,5.817241915422885,71.46284456844215,1.6862161475097097,1.4413874629825079,3.2354243281638904,0.3972,34899.60387925146,11951.919136729955,16493.64840868734,0.0,13625.187815872145,0.0,11951.919136729955,0.0,Rainforest
Gabon,2023,24.869488146551724,80.79464798850574,0.2649441451149425,6.144913793103448,71.85477377465784,1.6871889412087062,1.4519442011276997,3.235424328163891,0.3972,34899.60387925146,11951.919136729955,16493.64840868734,0.0,13625.187815872145,0.0,11951.919136729955,0.0,Rainforest
Ghana,2022,25.89729921819474,75.28100568585643,0.1540036425017768,9.038286247334755,71.94067747722683,1.6854524733068967,1.4595147943203461,2.771612568618332,0.3972,384168.8293948913,130617.40199426311,253551.42740062825,0.0,242965.44187952467,0.0,130617.40199426311,0.0,Desert
